index,hub,latitude,longitude
1,131,32.00055,-106.60614
2,199,33.41906,-94.0427
3,229,36.50022,-102.2447
4,512,33.41778,-94.04277
5,560,33.41962,-94.04271
6,635,31.74816,-106.48837
7,636,31.7477,-106.48488
8,637,29.54288,-104.37734
9,638,28.69617,-100.50993
10,639,27.49822,-99.51595
11,640,25.8921,-97.5051
12,17164,33.41764,-94.04748
13,17165,36.33155,-102.07502
14,17166,36.06575,-102.52281
15,17167,36.02597,-102.00169
16,17168,35.21066,-101.81099
17,17169,35.21028,-101.81331
18,17170,35.54683,-100.93269
19,17171,35.43384,-101.17775
20,17172,35.3389,-101.38136
21,17173,36.04695,-101.47307
22,17174,36.02901,-101.4744
23,17175,35.65233,-101.3945
24,17176,35.19594,-101.70598
25,17177,35.20276,-101.82719
26,17178,34.98258,-101.94244
27,17179,34.39311,-103.03693
28,17180,33.5962,-101.85284
29,17181,33.56401,-101.81778
30,17182,33.4489,-101.64902
31,17183,34.55696,-100.4357
32,17184,34.42322,-100.21286
33,17185,34.31644,-99.82455
34,17186,34.25872,-99.51952
35,17187,34.19435,-101.70451
36,17189,32.92558,-102.61893
37,17190,33.59567,-102.56268
38,17191,33.46628,-102.55499
39,17192,34.56256,-102.31477
40,17193,33.91881,-98.49387
41,17194,32.73714,-100.92255
42,17195,33.56319,-97.86093
43,17196,32.47377,-98.6772
44,17197,32.77156,-97.80894
45,17198,32.73672,-97.35063
46,17199,32.94513,-97.42085
47,17200,32.9034,-97.47943
48,17201,33.64844,-95.56841
49,17202,32.85727,-97.36076
50,17203,32.78965,-97.34019
51,17204,32.79675,-97.31306
52,17205,32.74747,-97.32083
53,17206,32.74477,-97.32127
54,17207,32.82397,-97.2818
55,17208,32.73912,-97.0831
56,17209,32.7433,-97.32133
57,17210,32.8063,-97.32528
58,17211,32.81691,-97.05505
59,17212,33.77487,-96.5605
60,17213,33.75385,-96.56197
61,17214,33.82069,-96.5329
62,17215,33.76358,-96.5305
63,17216,33.0321,-96.86488
64,17217,33.6418,-96.60381
65,17218,33.64124,-96.60666
66,17219,33.75726,-96.65184
67,17220,33.65091,-96.9043
68,17221,33.65489,-96.5439
69,17222,33.61249,-96.40732
70,17223,33.41729,-94.05231
71,17224,33.29419,-96.19284
72,17225,33.16222,-96.35844
73,17226,33.13548,-96.11818
74,17227,33.136,-96.12285
75,17228,32.91639,-96.63265
76,17229,33.13696,-96.10342
77,17230,33.13326,-95.59711
78,17231,33.15013,-94.97179
79,17232,32.99721,-94.96829
80,17233,33.01082,-94.66412
81,17234,32.73021,-94.94742
82,17235,33.41553,-94.05231
83,17236,33.38978,-94.06207
84,17237,32.92726,-94.70966
85,17238,33.02577,-96.51704
86,17239,33.01451,-96.70084
87,17240,32.95714,-96.71592
88,17241,32.80408,-96.72643
89,17242,32.77753,-96.73381
90,17243,32.7639,-96.73827
91,17244,32.73875,-96.76016
92,17245,32.55144,-96.66589
93,17246,32.77484,-96.85719
94,17247,32.77875,-96.80948
95,17249,32.955,-96.90857
96,17250,32.80452,-96.82456
97,17251,32.7806,-96.80959
98,17252,32.75972,-96.78717
99,17253,32.7567,-96.78169
100,17254,32.71831,-96.87508
101,17255,32.68523,-96.90633
102,17256,32.86455,-96.66943
103,17257,32.89996,-96.70486
104,17258,32.99832,-96.74099
105,17259,33.05925,-97.00299
106,17260,32.81477,-96.94926
107,17261,33.25214,-95.89645
108,17262,36.02357,-101.884
109,17263,35.96875,-101.88199
110,17264,27.50954,-99.51686
111,17265,28.51904,-99.21424
112,17266,29.39632,-98.53084
113,17267,27.74814,-98.07687
114,17268,29.34879,-94.94122
115,17269,29.35062,-94.94295
116,17270,29.68828,-95.04289
117,17271,29.71907,-95.28567
118,17272,29.73711,-95.31404
119,17273,29.7657,-95.3445
120,17275,29.7832,-95.43549
121,17276,29.77464,-95.34575
122,17277,29.79353,-95.34572
